"Date","Cumulative_Cases"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,3
2020-01-26,4
2020-01-27,4
2020-01-28,4
2020-01-29,7
2020-01-30,8
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,8
2020-02-04,10
2020-02-05,12
2020-02-06,12
2020-02-07,12
2020-02-08,16
2020-02-09,16
2020-02-10,18
2020-02-11,18
2020-02-12,18
2020-02-13,19
2020-02-14,19
2020-02-15,22
2020-02-16,22
2020-02-17,22
2020-02-18,22
2020-02-19,22
2020-02-20,22
2020-02-21,22
2020-02-22,22
2020-02-23,22
2020-02-24,22
2020-02-25,22
2020-02-26,22
2020-02-27,23
2020-02-28,23
2020-02-29,25
2020-03-01,29
2020-03-02,29
2020-03-03,36
2020-03-04,50
2020-03-05,50
2020-03-06,83
2020-03-07,93
2020-03-08,99
2020-03-09,117
2020-03-10,129
2020-03-11,149
2020-03-12,149
2020-03-13,197
2020-03-14,238
2020-03-15,428
2020-03-16,566
2020-03-17,673
2020-03-18,790
2020-03-19,900
2020-03-20,1030
2020-03-21,1183
2020-03-22,1306
2020-03-23,1518
2020-03-24,1624
2020-03-25,1796
2020-03-26,2031
2020-03-27,2161
2020-03-28,2320
2020-03-29,2470
2020-03-30,2626
2020-03-31,2766
2020-04-01,2908
2020-04-02,3116
2020-04-03,3333
2020-04-04,3483
2020-04-05,3662
2020-04-06,3793
2020-04-07,3963
2020-04-08,4119
2020-04-09,4228
2020-04-10,4346
2020-04-11,4530
2020-04-12,4683
2020-04-13,4817
2020-04-14,4987
2020-04-15,5072
2020-04-16,5182
2020-04-17,5251
2020-04-18,5305
2020-04-19,5389
2020-04-20,5425
2020-04-21,5482
2020-04-22,5532
2020-04-23,5603
2020-04-24,5691
2020-04-25,5742
2020-04-26,5780
2020-04-27,5820
2020-04-28,5851
2020-04-29,5945
2020-04-30,6002
2020-05-01,6071
2020-05-02,6176
2020-05-03,6298
2020-05-04,6353
2020-05-05,6383
2020-05-06,6428
2020-05-07,6467
2020-05-08,6535
2020-05-09,6589
2020-05-10,6656
2020-05-11,6726
2020-05-12,6742
2020-05-13,6779
2020-05-14,6819
2020-05-15,6855
2020-05-16,6872
2020-05-17,6894
2020-05-18,6941
2020-05-19,6978
2020-05-20,7009
2020-05-21,7059
2020-05-22,7137
2020-05-23,7185
2020-05-24,7245
2020-05-25,7417
2020-05-26,7604
2020-05-27,7619
2020-05-28,7629
2020-05-29,7732
2020-05-30,7762
2020-05-31,7819
2020-06-01,7857
2020-06-02,7877
2020-06-03,7970
2020-06-04,8247
2020-06-05,8266
2020-06-06,8303
2020-06-07,8322
2020-06-08,8329
2020-06-09,8336
2020-06-10,8338
2020-06-11,8369
2020-06-12,8402
2020-06-13,8445
2020-06-14,8453
2020-06-15,8494
2020-06-16,8505
2020-06-17,8515
2020-06-18,8529
2020-06-19,8535
2020-06-20,8556
2020-06-21,8572
2020-06-22,8587
2020-06-23,8590
2020-06-24,8596
2020-06-25,8600
2020-06-26,8606
2020-06-27,8616
2020-06-28,8634
2020-06-29,8637
2020-06-30,8639
2020-07-01,8640
2020-07-02,8643
2020-07-03,8648
2020-07-04,8658
2020-07-05,8663
2020-07-06,8668
2020-07-07,8674
2020-07-08,8677
2020-07-09,8683
2020-07-10,8696
2020-07-11,8704
2020-07-12,8718
2020-07-13,8725
2020-07-14,8729
2020-07-15,8734
2020-07-16,8737
2020-07-17,8755
2020-07-18,8764
2020-07-19,8779
2020-07-20,8800
2020-07-21,8815
2020-07-22,8831
2020-07-23,8840
2020-07-24,8861
2020-07-25,8884
2020-07-26,8897
2020-07-27,8904
2020-07-28,8943
2020-07-29,8956
2020-07-30,8964
2020-07-31,8976
2020-08-01,8985
2020-08-02,8999
2020-08-03,9001
2020-08-04,9002
